ed,cd,hochul,zeldin,gov_votes,voters_nov22
64082,47,446.0,396.0,853.0,1427.0
64083,47,489.0,371.0,873.0,1610.0
64084,47,227.0,388.0,619.0,1066.0
64085,47,215.0,326.0,553.0,1032.0
64086,47,206.0,371.0,586.0,973.0
64087,47,106.0,106.0,214.0,766.0
64088,,0.0,0.0,0.0,
64089,47,0.0,0.0,0.0,
65001,1,514.0,167.0,683.0,1259.0
65002,1,304.0,96.0,407.0,1090.0
65003,1,456.0,131.0,595.0,1316.0
65004,1,453.0,153.0,611.0,1227.0
65005,1,397.0,120.0,523.0,1129.0
65006,1,308.0,66.0,376.0,925.0
65007,1,483.0,293.0,788.0,1445.0
65008,1,330.0,220.0,559.0,1018.0
65009,1,461.0,109.0,574.0,1289.0
65010,1,405.0,131.0,545.0,1302.0
65011,1,212.0,50.0,263.0,949.0
65012,1,172.0,84.0,272.0,1221.0
65013,1,261.0,106.0,372.0,1389.0
65014,1,157.0,87.0,252.0,1026.0
65015,1,229.0,198.0,450.0,1277.0
65016,1,161.0,194.0,366.0,1023.0
65017,1,217.0,96.0,322.0,1217.0
65018,1,223.0,91.0,322.0,1422.0
65019,1,372.0,190.0,582.0,1618.0
65020,1,253.0,104.0,360.0,999.0
